#{"t_start": 1626411959.383846, "env_id": null}
r,l,t
303.770253,156,5399.022195
149.19108,134,5406.594077
703.385657,450,5434.44472
774.78229,324,5454.533876
992.874117,404,5479.63026
282.403684,428,5505.837074
942.166067,477,5536.055798
478.772772,214,5548.416109
230.73135,328,5567.950309
232.690645,206,5580.37542
239.359656,114,5587.953766
-111.711236,108,5594.33992
108.048898,178,5604.388378
-1794.009025,424,5631.613931
1456.869486,344,5652.859561
647.844793,280,5669.942237
938.09338,390,5693.162224
-773.367382,202,5706.223781
13.96807,46,5709.081144
1316.128396,520,5741.393806
642.975254,560,5775.739301
340.374597,343,5796.816806
-241.735487,302,5815.31626
570.303555,285,5832.724546
-81.833805,182,5843.632743
826.102338,478,5870.865222
1290.133374,545,5902.656149
655.582887,359,5925.097826
913.159712,375,5948.400563
-454.8512,499,5978.600147
-560.468096,411,6005.807288
853.441885,404,6031.244191
721.73388,308,6050.616231
-489.521902,134,6058.403301
70.803194,141,6066.744502
-228.335657,85,6071.665093
-13.204937,49,6074.654633
626.194798,302,6093.200947
-380.242076,351,6113.654519
508.226691,295,6131.16123
-82.974645,172,6141.029662
847.263837,453,6168.296925
1594.70805,305,6187.964535
777.21325,408,6212.485979
498.565146,263,6228.336334
655.685223,263,6244.574449
-316.816439,104,6250.810709
-70.113985,273,6266.97151
245.626346,293,6285.528573
920.013,400,6310.155241
421.219581,240,6324.327011
-298.837747,87,6329.290103
533.595022,242,6343.507914
817.136373,346,6365.215665
396.523181,340,6385.024667
859.158095,390,6409.383134
-283.93617,264,6425.627297
183.696731,209,6437.930792
903.869429,402,6460.862343
540.799904,263,6476.864742
-590.167027,298,6495.342779
878.825354,379,6519.042556
632.747553,371,6542.225494
520.658079,298,6559.804331
691.330345,263,6576.098505
-3450.296854,676,6619.536214
756.368587,227,6632.641294
403.990491,206,6644.873138
236.128572,513,6677.231741
236.933859,172,6687.426106
623.217895,285,6704.59665
514.274243,425,6731.034609
901.950055,406,6756.115394
670.814352,310,6774.358504
-291.874898,92,6779.847774
836.064576,348,6802.167392
745.190845,307,6820.752033
-900.859724,563,6855.456213
856.084967,385,6879.924879
1601.056833,377,6902.696938
254.686414,428,6928.468059
-155.40516,144,6936.916138
1156.706388,521,6969.30035
-571.662481,218,6981.979094
831.386614,401,7006.625107
222.706234,135,7014.471713
651.676551,416,7038.952321
328.710433,180,7049.368199
518.966825,239,7064.846862
181.135393,122,7072.107018
357.39918,227,7085.354987
517.957625,243,7100.214896
553.883523,240,7115.255208
865.102094,385,7139.258295
251.273642,181,7150.625629
-2194.614922,606,7186.386632
629.433592,310,7206.770152
947.587119,409,7232.595625
727.474885,310,7251.131679
1201.287034,603,7287.993513
551.993457,353,7308.964598
720.397738,401,7333.930706
861.944785,374,7356.605379
809.114885,301,7374.568845
429.278044,273,7390.918398
703.99592,409,7415.81409
1422.217781,253,7431.338313
507.242568,173,7441.445603
743.092386,326,7460.474439
597.434762,259,7476.128661
730.204445,327,7494.9279
1132.997149,406,7518.565771
360.949293,190,7530.182662
1284.816115,561,7564.955434
549.639158,398,7588.657782
380.520023,389,7611.652924
724.470754,507,7643.796732
702.882235,299,7662.721112
565.514874,377,7685.722514
1212.306162,556,7722.070004
397.544012,172,7732.347717
961.393267,176,7742.580574
1050.137974,322,7761.861135
1094.861134,245,7776.460878
293.492253,588,7812.804924
706.940874,330,7832.651978
290.256609,506,7866.369899
1125.873802,470,7896.211832
604.347835,261,7911.924548
855.615278,268,7928.28213
998.733511,461,7955.994446
399.14472,424,7981.161964
-4073.968369,1198,8059.076457
603.601784,390,8083.642951
468.662729,473,8112.251117
-1287.57934,236,8126.960489
-494.486784,464,8156.993716
927.128071,393,8181.590977
1773.914956,507,8213.712468
625.857182,259,8229.620737
1069.043618,556,8265.166954
775.478136,481,8294.406416
1117.009437,466,8323.56268
994.872581,1010,8385.064898
-789.927612,114,8391.710694
549.75336,653,8431.064306
588.902048,253,8446.543932
163.554066,307,8465.973528
66.53772,200,8477.921773
508.603335,358,8499.390834
-547.247976,94,8504.888385
