#{"t_start": 1626354433.356354, "env_id": null}
r,l,t
-187.664969,25,453.251762
-82.477616,11,454.022303
-79.820019,12,454.897154
-68.568811,9,455.572098
-87.085143,16,456.666775
-9.806126,12,457.510216
-126.383084,25,459.107579
-17.401931,8,459.742996
-79.92752,11,460.509937
-53.829376,23,461.997782
-91.993747,14,462.928162
-878.53293,145,471.816024
-92.959647,15,472.868011
-492.839224,107,479.713467
-317.528513,42,482.31807
-31.047906,11,483.100349
-169.659956,29,485.020277
-80.542331,11,485.78854
-42.846336,9,486.45474
-76.357769,15,487.457619
-1502.253288,210,500.724548
-397.128562,112,507.566813
-520.761011,93,513.242274
-56.290923,12,514.077183
-106.287917,17,515.201934
-3004.694134,400,539.135307
-383.928654,54,542.343851
-74.071367,13,543.238663
-589.267399,123,550.893093
-871.615869,138,559.119485
-196.594358,31,561.073827
-167.20359,37,563.284412
-67.448562,19,564.519636
-159.519999,34,566.582987
-76.848813,18,567.773315
-673.953134,96,573.521258
-585.10941,102,579.747698
-106.491019,16,580.787786
-215.980649,32,582.84071
-410.954749,47,585.853317
-344.276083,46,588.492462
-113.578717,17,589.584655
-215.589019,30,591.382194
-537.237951,70,595.635482
-84.667826,15,596.676158
-137.47988,21,598.079415
-233.482085,31,600.160843
-159.815485,29,602.041699
-291.79946,42,604.610284
-86.121212,14,605.547853
-183.51647,25,607.049454
-189.319052,29,608.780273
-94.168264,13,609.704399
-89.766023,16,610.751913
-293.736406,38,612.995014
-125.260768,26,614.650217
-531.497769,71,618.882501
-92.134377,16,619.945017
-117.225492,18,621.080327
-149.350333,22,622.44186
-121.471501,19,623.735749
-240.115448,34,625.768588
-339.289351,43,628.439061
-502.185468,67,632.581154
-273.367107,43,635.182898
-177.478333,26,636.807372
-1045.31361,132,644.709066
-134.310953,23,646.227126
-430.275017,63,650.32552
-163.171764,34,652.482171
-376.404507,52,655.674963
-806.104958,105,661.615851
-643.579643,82,666.598697
-174.107428,38,668.880679
-395.150726,50,671.87656
-866.424906,117,679.227837
-150.037806,30,681.048036
-328.546514,47,683.837373
-346.587706,53,687.045332
-187.110665,33,689.116703
-119.018108,28,690.900815
-225.53875,38,693.293167
-427.156727,59,696.885576
-350.711681,49,699.733546
-319.425715,44,702.577703
-145.721439,34,704.688001
-457.076608,77,709.25743
-59.487434,14,710.214021
-778.177384,99,716.505263
-425.581842,54,719.516882
-1018.160485,127,727.263475
-1599.222444,220,740.381504
-323.108627,60,744.316548
-327.095,59,748.131191
-50.549969,19,749.348981
-544.698336,84,754.402553
-259.0468,38,756.692217
-361.456506,47,759.403763
-308.576984,45,761.955999
-915.57593,115,769.663034
-85.021598,19,770.951624
-720.76376,101,777.353788
-237.344322,30,779.233824
-163.495274,29,780.997978
-87.358485,28,782.781967
-569.11757,80,787.495938
-326.91027,54,790.625023
-328.542408,49,793.573689
-365.221727,70,797.674227
-765.8517,119,804.756813
-521.680729,71,809.540287
-682.662168,100,815.762728
-160.224914,24,817.303287
-785.440467,116,824.555473
-215.373111,32,826.613736
-820.949336,110,833.444653
557064.045287,80,838.323643
-533.812379,71,842.669743
-219.118679,29,844.485586
-527.768763,71,848.502979
-769.283893,121,855.899634
-122.345895,22,857.325886
-2916.68067,370,879.112137
-740.500897,102,885.867022
-1033.656258,144,894.81826
-136.465037,30,896.73806
-235.614617,37,898.966119
-84.310527,150,908.382217
-829.351317,112,915.220908
-193.005007,28,916.953941
-279.821921,43,919.488536
-178.677061,25,921.026515
-536.082355,77,925.720789
-75.853167,9,926.397066
-2633.159149,339,947.234235
-282.886484,54,950.515481
-1737.843236,251,965.221978
-165.795907,30,967.004038
144201.802244,76,971.822665
-406.893316,59,975.49518
-827.248154,114,982.390023
-66.42969,20,983.703351
-87.105403,25,985.301114
-74.836385,21,986.682215
-47.097798,17,987.863824
-123.193365,51,990.945168
-116.220738,31,992.813874
-194.508297,38,995.144828
-1593.722182,213,1007.709254
-149.014091,26,1009.314551
-212.697006,33,1011.258054
-1818.441543,242,1027.068917
-153.442074,27,1028.775056
-253.89793,30,1030.558743
-468.332379,147,1039.68836
-302.735431,52,1042.763497
-574.762437,97,1048.276638
-202.457751,33,1050.317472
-557.398437,74,1054.635324
-211.798401,38,1056.937227
-207.642135,31,1058.767947
-198.265429,34,1060.86919
-3613.314952,471,1092.398594
-100.310399,17,1093.589558
-156.215457,31,1095.525954
-1705.12343,216,1109.485627
-211.055954,29,1111.209332
-440.963689,63,1115.219365
-98.983936,21,1116.632747
-2091.998782,283,1134.554625
-157.436489,25,1136.167108
-1082.159563,140,1144.453965
564554.6143,204,1157.752036
-309.775355,41,1160.061621
-102.241628,20,1161.316364
-133.197045,18,1162.479369
-164.07072,23,1163.977028
-686.568953,86,1169.174822
-90.102733,20,1170.52947
-117.109132,15,1171.531294
-419.186838,65,1175.593294
-777.31437,110,1182.406584
-796.09392,118,1189.959736
-2361.145715,324,1213.184191
-133.320642,28,1215.070143
-77.554096,48,1218.166812
-95.838097,14,1219.18557
-161.558644,26,1220.861835
-145.555189,27,1222.563716
-444.970456,55,1225.887332
-220.519095,38,1228.272945
-215.546081,38,1230.662801
-909.156597,117,1237.568014
-184.733196,34,1239.662884
-163.776879,24,1241.175855
-217.90518,30,1242.950272
-271.33116,49,1245.950994
-608.903409,80,1250.625613
-500.548586,63,1254.398358
-1042.413925,131,1261.692579
-2750.920338,406,1288.366685
-405.888311,51,1291.499402
-406.488371,56,1295.069876
-426.740363,70,1299.370093
-265.287267,36,1301.521094
-520.579507,69,1305.609067
-907.536352,117,1312.207344
-353.582868,64,1316.043992
-286.65342,41,1318.587326
-3455.498022,436,1347.678892
-1520.243477,227,1361.020631
-780.162616,119,1369.076475
-196.011181,36,1371.584483
-1553.959354,202,1384.844116
-271.359243,39,1387.227494
-298.163528,54,1390.646786
555438.43628,25,1392.212992
-199.671074,42,1394.983265
-270.36171,44,1397.832883
-388.764245,84,1402.717727
-497.744131,76,1407.27561
-267.553431,45,1410.15095
-629.068427,87,1416.216528
-920.035103,132,1423.766475
-516.099295,72,1428.133596
-126.196943,22,1429.580649
-477.863329,65,1433.772516
348798.806605,27,1435.455687
-845.609854,113,1442.485018
-901.917259,152,1451.694115
-1673.751027,215,1464.937397
-2067.412159,299,1484.822311
75154.375889,23,1486.345366
-284.374915,47,1489.433043
-428.925433,56,1492.819908
-445.192196,61,1496.527679
-142.993269,32,1498.55046
-207.360228,31,1500.558363
-822.896585,126,1507.894486
110529.605459,28,1509.729044
-125.000295,17,1510.861428
-984.268383,127,1519.300039
-471.013038,65,1523.27301
-661.466815,97,1529.213354
-256.722707,47,1532.091882
-254.944919,37,1534.475661
-1855.640547,237,1549.828285
-973.833117,127,1558.442852
69313.572792,19,1559.720824
-291.53516,38,1562.035488
-393.213387,81,1566.923818
-557.671398,83,1571.888839
-273.905229,42,1574.388958
-158.443178,25,1575.966296
-363.05042,56,1579.137567
-1254.743839,162,1589.245125
-291.046599,49,1592.334868
-505.169761,72,1596.619991
-157.897079,32,1598.668907
-439.846672,86,1603.785501
-350.633395,53,1607.27623
-1096.484833,161,1616.709036
-422.664624,59,1620.3494
-676.788099,95,1625.962151
-597.02894,82,1631.405558
-354.467355,55,1634.677488
-274.896742,43,1637.291397
-501.519292,67,1641.419735
-747.052122,104,1647.948093
-1708.876839,218,1663.015067
-351.272181,59,1666.738323
-696.905551,94,1672.703904
-359.578246,57,1676.559536
-439.080403,61,1680.165663
-227.190566,36,1682.387707
-1098.549499,143,1692.196351
-177.661981,42,1694.827844
-395.033346,53,1697.892947
-2446.361392,313,1718.062858
-282.69485,52,1721.427536
-486.673621,67,1725.780883
-293.270171,39,1728.094254
-329.815858,51,1731.076381
-232.708203,36,1733.288436
-165.002764,43,1736.124526
-424.429263,65,1740.297128
-233.402411,35,1742.382105
-218.024884,31,1744.255014
-239.561613,47,1747.323896
-4791.689111,610,1787.647773
-1030.345722,133,1795.721075
-1330.885576,190,1807.689275
-1808.93864,235,1821.563241
-224.826548,38,1823.831129
-304.682361,50,1827.041104
-787.159376,109,1834.147141
-1730.902123,252,1849.620692
-419.124696,65,1853.691461
-285.315401,55,1857.117888
-676.782366,92,1863.251714
-1782.440488,224,1876.972315
-4294.975144,567,1911.854835
-783.969861,105,1918.743221
-357.984888,60,1922.251538
-4862.676653,622,1963.061071
-199.533385,45,1965.775598
-213.533383,41,1968.298619
-255.933243,53,1971.552813
-8387.516577,1056,2039.799988
-110.761426,35,2042.100282
-326.529901,40,2044.46502
-378.599405,65,2048.594447
-757.189748,105,2055.482076
-86.951218,24,2056.984589
68309.318538,187,2069.434198
-483.473058,95,2074.929934
-748.854573,109,2081.128245
-435.285565,60,2084.575123
-61.22355,26,2086.176414
-453.891778,85,2091.313673
-171.888804,31,2093.231497
-210.240433,41,2095.811517
-245.70602,62,2099.493774
-246.632121,54,2102.721217
-5186.971275,666,2147.306652
-120.793996,43,2150.018957
-218.713613,50,2152.945703
-5798.447792,744,2203.246787
-758.679166,135,2211.195578
-9428.410789,1198,2289.52816
